Wild Fall Chinook,Hatchery Fall Chinook,Wild Summer Steelhead,Hatchery Summer Steelhead,Wild Type S Coho,Wild Type N Coho,Hatchery Type S Coho,Hatchery Type N Coho
255,250,289,282,285,,284,294
255,250,289,282,285,,284,294
255,250,290,283,285,,284,294
255,250,290,283,286,,285,294
255,250,290,284,288,,285,294
255,250,290,284,289,,285,294
255,250,291,284,289,,285,294
255,250,291,285,289,,285,294
255,250,291,285,290,,286,294
256,250,291,286,290,,286,294
256,250,292,286,290,,286,294
256,250,292,286,292,,287,294
256,250,292,286,292,,287,294
256,250,292,287,292,,288,294
256,250,292,289,292,,289,294
256,250,293,291,293,,290,295
256,250,293,291,293,,291,295
256,250,294,292,293,,291,295
256,250,294,293,294,,292,297
256,250,294,294,296,,293,297
256,250,294,,,,294,299
256,250,295,,,,294,299
256,250,296,,,,299,299
256,250,299,,,,,
256,250,299,,,,,
256,250,,,,,,
256,250,,,,,,
256,250,,,,,,
256,251,,,,,,
256,251,,,,,,
256,251,,,,,,
256,251,,,,,,
257,251,,,,,,
257,251,,,,,,
257,251,,,,,,
257,251,,,,,,
257,251,,,,,,
257,251,,,,,,
257,251,,,,,,
257,251,,,,,,
257,251,,,,,,
257,251,,,,,,
257,251,,,,,,
257,251,,,,,,
257,251,,,,,,
257,251,,,,,,
257,251,,,,,,
257,251,,,,,,
257,251,,,,,,
257,251,,,,,,
257,251,,,,,,
257,251,,,,,,
257,251,,,,,,
257,251,,,,,,
257,251,,,,,,
257,251,,,,,,
257,251,,,,,,
257,251,,,,,,
257,251,,,,,,
257,251,,,,,,
257,251,,,,,,
257,251,,,,,,
257,251,,,,,,
258,251,,,,,,
258,251,,,,,,
258,251,,,,,,
258,251,,,,,,
258,251,,,,,,
258,251,,,,,,
258,251,,,,,,
258,251,,,,,,
258,251,,,,,,
258,251,,,,,,
258,251,,,,,,
258,251,,,,,,
258,251,,,,,,
258,251,,,,,,
258,251,,,,,,
258,251,,,,,,
258,251,,,,,,
258,251,,,,,,
258,252,,,,,,
258,252,,,,,,
258,252,,,,,,
258,252,,,,,,
258,252,,,,,,
258,252,,,,,,
258,252,,,,,,
