Wild Fall Chinook,Hatchery Fall Chinook,Hatchery Winter Steelhead,Wild Coho,Hatchery Coho,Wild Pink
276,258,032,306,286,
276,258,033,306,286,
276,258,033,306,286,
276,258,033,306,286,
276,258,033,306,287,
276,258,036,306,287,
276,258,036,306,287,
276,258,036,306,287,
276,258,036,306,287,
276,258,036,306,287,
276,258,036,306,287,
276,258,036,306,287,
276,258,036,306,287,
276,258,036,306,287,
276,258,036,307,287,
276,258,037,307,287,
276,258,037,307,287,
276,258,037,307,287,
276,258,037,307,287,
276,258,037,307,287,
276,258,038,307,287,
276,258,038,307,287,
276,258,038,307,287,
276,258,038,307,287,
276,258,038,307,287,
276,258,038,307,287,
276,258,038,307,287,
276,258,038,307,287,
276,258,038,307,287,
276,258,038,308,287,
276,258,038,308,287,
276,258,038,308,287,
276,258,038,308,287,
276,258,038,308,287,
276,258,038,308,287,
276,258,038,308,287,
276,258,038,308,287,
276,258,038,308,287,
276,258,038,308,287,
276,258,038,308,287,
276,258,038,308,287,
276,258,038,308,287,
276,258,038,308,287,
276,259,038,308,287,
276,259,039,308,287,
276,259,039,308,287,
276,259,039,308,287,
276,259,040,308,287,
276,259,040,308,287,
276,259,040,308,287,
276,259,040,308,287,
276,259,040,308,287,
276,259,040,308,287,
276,259,042,308,287,
276,259,042,308,287,
276,259,042,308,287,
276,259,042,308,287,
276,259,042,308,287,
276,259,042,308,287,
276,259,042,308,287,
276,259,042,308,287,
276,259,042,308,287,
276,259,042,308,287,
276,259,042,308,287,
276,259,042,308,287,
276,259,042,308,287,
276,259,042,308,287,
276,259,042,308,287,
276,259,042,309,287,
276,259,042,309,287,
276,259,042,309,287,
276,259,042,309,287,
276,259,042,309,287,
276,259,042,309,287,
276,259,042,309,287,
276,259,042,309,287,
276,259,042,309,287,
278,259,042,309,287,
278,259,044,309,287,
278,259,044,309,287,
278,259,044,309,287,
278,259,044,309,287,
278,259,044,309,287,
278,259,044,309,287,
278,259,044,309,287,
278,259,044,309,288,
278,259,045,309,288,
278,259,045,309,288,
278,259,045,309,288,
278,259,045,309,288,
278,260,045,309,288,
278,260,045,309,288,
278,260,045,309,288,
278,260,045,309,288,
278,260,045,309,288,
278,260,045,309,288,
278,260,045,309,288,
278,260,045,309,288,
278,260,045,309,289,
278,260,045,309,289,
278,260,045,309,289,
278,260,045,309,289,
278,260,045,309,289,
278,260,045,309,289,
278,260,045,309,289,
278,260,045,309,289,
278,260,045,309,289,
278,260,045,309,289,
278,260,045,309,289,
278,260,045,309,289,
278,260,045,311,289,
278,260,045,311,289,
278,260,045,311,289,
278,260,045,311,289,
278,260,045,311,289,
278,260,047,311,289,
278,260,047,312,289,
279,260,047,312,289,
279,260,047,312,289,
279,260,047,312,289,
279,260,047,312,289,
279,260,047,312,289,
279,260,047,312,289,
279,260,051,312,289,
279,260,051,312,289,
279,260,051,312,289,
279,260,051,312,289,
279,260,058,312,289,
279,260,058,312,289,
279,260,059,312,289,
279,260,059,312,289,
279,260,059,312,289,
279,260,059,312,289,
279,260,064,312,289,
279,260,064,312,289,
279,260,308,312,289,
279,260,308,312,289,
279,260,308,312,289,
279,260,308,312,289,
279,260,308,312,289,
279,260,308,312,289,
279,260,308,312,289,
279,260,308,312,289,
279,260,308,312,289,
279,260,308,312,289,
279,260,311,312,289,
279,260,311,312,289,
279,260,311,312,289,
279,260,311,312,289,
279,260,311,312,289,
279,260,311,312,289,
279,260,311,312,289,
279,261,311,312,289,
279,261,316,312,289,
279,261,316,312,290,
279,261,316,312,290,
279,261,316,312,290,
279,261,316,312,290,
279,261,316,312,290,
280,261,316,312,290,
280,261,316,312,290,
280,261,316,312,290,
280,261,316,314,290,
280,261,316,314,290,
280,261,316,314,290,
280,261,324,314,290,
280,261,324,314,290,
280,261,324,314,290,
280,261,324,314,290,
280,261,324,314,290,
280,261,324,314,290,
280,261,324,314,290,
280,261,328,314,290,
280,261,328,314,290,
280,261,328,314,290,
280,261,328,314,290,
280,261,328,314,290,
280,261,328,314,290,
280,261,328,314,290,
280,261,328,314,290,
280,261,328,314,290,
280,261,328,314,290,
280,261,330,314,290,
280,261,330,314,290,
280,261,330,314,290,
280,261,330,314,290,
280,261,330,314,290,
280,261,330,314,290,
280,261,330,314,290,
280,261,330,314,290,
280,261,330,314,290,
280,261,330,314,290,
280,261,334,314,290,
280,261,334,314,290,
280,261,334,314,290,
280,261,334,314,290,
280,261,336,314,290,
280,261,336,314,290,
280,261,336,314,290,
280,261,336,314,290,
280,261,336,314,290,
280,261,336,314,290,
281,261,336,314,290,
281,261,336,314,290,
281,261,336,314,290,
281,262,336,314,290,
281,262,336,314,290,
281,262,336,314,290,
281,262,336,314,290,
281,262,336,314,290,
281,262,336,314,290,
281,262,336,314,290,
281,262,336,314,290,
281,262,336,314,290,
281,262,336,314,290,
281,262,336,314,290,
281,262,336,314,290,
281,262,336,314,290,
281,262,336,318,290,
281,262,336,318,290,
281,262,336,318,290,
281,262,336,318,290,
281,262,336,318,290,
281,262,336,318,290,
281,262,336,318,290,
281,262,336,318,290,
281,262,338,318,290,
283,262,338,318,290,
283,262,338,318,290,
283,262,338,318,290,
283,262,338,318,290,
283,262,338,318,290,
283,262,338,318,290,
283,262,338,318,290,
283,262,338,318,290,
286,262,338,318,290,
286,262,339,318,290,
286,262,339,318,290,
286,262,339,318,290,
