Wild Fall Chinook,Hatchery Fall Chinook,Wild Winter Steelhead,Wild Winter-Late Steelhead,Hatchery Winter Steelhead,Wild Coho,Wild Late Coho,Hatchery Coho,Hatchery Late Coho,Hatchery Chum,Unknown Chum
286,275,015,046,005,298,005,278,005,315,320
286,275,015,046,005,298,005,278,005,315,320
286,275,015,046,005,298,005,278,005,315,320
286,275,015,046,005,298,005,278,005,315,320
286,275,015,048,005,298,005,278,005,315,320
286,275,015,048,005,298,005,278,005,315,320
286,275,015,062,005,298,005,278,005,315,320
286,275,015,062,005,298,005,278,005,315,320
286,275,015,062,005,298,005,278,005,315,320
286,275,015,062,005,298,005,278,005,315,320
286,275,015,062,005,298,005,278,005,315,320
286,275,015,062,005,298,005,278,005,315,320
286,275,015,062,005,298,005,278,005,315,321
286,275,015,069,005,298,005,278,005,315,321
286,275,015,083,005,298,005,278,005,315,321
286,275,015,083,005,298,005,278,005,315,321
286,275,015,083,005,298,005,278,005,315,321
286,275,015,083,005,298,005,278,005,315,321
286,275,015,083,005,298,005,278,005,315,321
286,275,015,083,005,298,005,278,005,315,321
286,275,015,083,005,298,005,278,005,315,321
286,275,015,083,005,298,005,278,005,315,321
287,275,015,083,005,298,005,278,005,315,321
287,275,015,083,005,298,005,278,005,315,321
287,275,015,089,005,298,005,278,005,315,321
287,275,015,089,005,298,005,278,005,315,321
287,275,015,089,005,298,005,278,005,315,321
287,275,015,089,005,298,005,278,005,315,321
287,275,015,089,005,298,005,278,005,315,321
287,275,015,089,005,298,005,278,005,315,321
287,275,015,089,005,298,005,278,005,315,321
287,275,015,089,005,298,005,278,005,315,321
287,276,015,089,005,298,005,278,005,315,321
287,276,015,089,005,298,005,278,005,315,321
287,276,015,089,005,298,005,278,005,315,321
287,276,015,089,005,298,005,278,005,315,321
287,276,015,089,005,298,005,278,005,315,321
287,276,015,089,005,298,005,278,005,315,321
287,276,015,089,005,298,005,278,005,315,321
287,276,015,089,005,298,005,278,005,315,321
287,276,015,089,005,298,005,278,005,315,321
287,276,015,089,005,298,005,278,005,315,321
287,276,015,089,005,298,005,278,005,315,322
289,276,015,089,005,298,005,278,005,315,322
289,276,015,089,005,298,005,278,005,315,322
289,276,015,089,005,298,005,278,005,315,322
289,276,015,089,005,298,005,278,005,315,322
289,276,015,089,005,298,005,278,005,315,322
289,276,015,089,005,298,005,278,005,315,322
289,276,015,089,005,298,005,278,005,315,322
289,276,015,089,005,298,005,278,005,315,322
289,276,015,090,005,298,005,278,005,315,322
289,276,015,097,005,298,005,278,005,315,322
289,276,015,097,005,298,005,278,005,315,322
289,276,015,097,005,298,005,278,005,315,322
289,276,015,097,005,298,005,278,005,315,322
289,276,015,097,005,298,005,278,005,315,322
289,276,015,097,005,298,005,278,005,315,322
289,276,015,111,005,298,005,278,005,315,322
289,276,015,111,005,298,005,278,005,315,322
289,276,015,111,005,298,005,278,005,315,322
289,276,015,111,005,298,005,278,005,315,322
289,276,015,111,005,298,005,278,005,315,322
289,276,015,111,005,298,005,278,005,316,322
289,276,015,111,005,298,005,278,005,316,322
289,276,015,111,005,298,005,278,005,316,322
289,276,015,111,005,298,005,278,005,316,322
289,276,015,111,006,298,005,278,005,316,322
289,276,015,111,006,298,005,278,005,316,322
289,276,015,111,006,298,005,278,005,316,322
289,276,015,111,006,298,005,279,005,316,322
289,276,015,111,006,298,005,279,005,316,322
289,276,015,111,007,298,005,279,005,316,322
289,276,015,118,007,298,006,279,005,316,322
289,276,015,118,007,298,006,279,005,316,322
289,276,015,118,007,298,006,279,005,316,322
289,276,015,118,007,299,006,279,005,316,322
289,276,015,123,007,299,006,279,005,316,322
289,276,015,123,007,299,006,279,005,316,322
289,276,015,123,007,299,006,279,005,316,322
289,276,015,123,007,299,006,279,005,316,322
289,277,015,123,007,299,006,279,005,316,322
289,277,015,123,007,299,006,279,005,316,322
289,277,015,351,007,299,006,279,005,316,322
289,277,015,351,007,299,006,279,005,316,322
289,277,015,351,007,299,006,279,005,316,322
289,277,015,363,007,299,006,279,005,316,322
289,277,015,363,007,299,006,279,005,316,322
289,277,015,363,007,299,006,279,005,316,322
289,277,015,363,007,299,006,279,005,316,322
289,277,017,363,007,299,006,279,005,316,322
289,277,017,363,007,299,006,279,005,316,322
289,277,017,363,007,299,006,279,005,316,322
289,277,020,363,007,299,006,279,005,316,322
289,277,020,363,008,299,006,279,005,316,322
289,277,020,363,008,299,006,279,005,316,322
289,277,020,363,008,299,006,279,005,316,322
289,277,020,363,008,299,006,279,005,316,322
289,277,020,363,008,299,006,279,005,316,323
289,277,020,363,008,299,006,279,005,316,323
289,277,021,363,008,299,006,279,005,316,323
289,277,021,363,008,299,006,279,005,317,323
289,277,021,363,008,299,006,279,005,317,324
289,277,021,363,008,299,006,279,005,317,324
289,277,021,364,008,299,006,279,005,317,324
289,277,021,364,008,299,006,279,005,317,324
289,277,021,364,008,299,006,279,005,317,324
289,277,021,364,008,299,006,280,005,317,324
289,277,021,364,008,299,006,280,005,317,324
289,277,021,364,009,299,006,280,005,317,324
289,277,021,364,009,299,006,280,005,317,324
289,277,021,364,009,299,006,280,005,317,324
289,277,021,364,009,299,006,280,005,317,324
289,277,021,,009,299,006,280,005,317,324
289,277,021,,009,299,006,280,005,317,324
289,277,021,,009,299,006,280,005,317,324
289,277,021,,009,301,006,280,005,317,324
289,277,021,,009,301,006,280,005,317,324
289,277,021,,009,301,006,280,005,317,324
289,277,021,,009,301,006,280,006,317,324
289,277,021,,009,301,006,280,006,317,324
289,277,021,,009,301,006,280,006,317,324
289,277,021,,009,301,006,280,006,317,324
289,277,021,,009,301,006,280,006,317,324
289,277,021,,009,301,006,280,006,317,324
289,277,021,,009,301,006,280,006,317,324
289,277,021,,009,301,007,280,006,317,324
289,277,021,,009,301,007,280,006,317,324
289,277,021,,009,301,007,280,006,317,324
289,277,021,,009,301,007,280,006,317,324
289,277,021,,009,301,007,280,006,317,324
289,277,021,,009,301,007,280,006,317,324
289,277,021,,009,301,007,280,006,317,324
289,278,021,,009,302,007,280,006,317,324
289,278,021,,009,302,007,280,006,317,324
289,278,021,,009,302,007,280,006,317,324
290,278,021,,009,302,007,280,006,317,324
290,278,021,,009,302,007,280,006,317,324
290,278,021,,009,302,007,280,006,317,324
290,278,021,,009,302,007,280,007,317,324
290,278,021,,009,302,007,280,007,317,324
290,278,021,,009,302,007,280,007,317,324
290,278,021,,009,302,007,280,007,317,324
290,278,021,,009,302,007,280,007,317,324
290,278,021,,009,302,007,280,007,317,324
290,278,021,,009,302,007,280,007,317,324
290,278,021,,009,302,007,280,007,317,324
290,278,021,,009,302,007,280,007,317,324
290,278,021,,009,302,007,280,007,317,324
290,278,021,,009,302,007,280,007,317,324
290,278,021,,009,302,007,280,007,317,324
290,278,021,,009,302,007,280,007,317,324
290,278,021,,009,302,007,280,007,317,324
290,278,021,,009,302,007,280,007,317,324
290,278,021,,009,302,007,280,007,317,324
290,278,021,,009,302,007,280,007,317,324
290,278,021,,009,302,007,280,007,317,324
290,278,021,,009,302,007,280,007,317,324
290,278,021,,009,302,007,280,007,317,324
290,278,021,,009,302,007,280,007,317,324
290,278,021,,009,302,007,280,007,317,324
290,278,021,,009,302,007,280,007,317,324
290,278,021,,009,302,007,280,007,317,324
290,278,021,,010,302,007,280,007,317,324
290,278,021,,010,302,007,280,007,317,324
290,278,021,,010,302,007,280,007,317,324
290,278,021,,010,302,007,280,007,317,324
290,278,021,,010,302,007,280,007,317,324
290,278,021,,010,302,007,280,007,317,324
290,278,021,,010,302,007,280,007,317,324
290,278,021,,010,302,007,280,007,317,324
290,278,021,,010,302,007,280,007,317,324
290,278,021,,010,302,007,280,007,317,324
290,278,021,,010,302,007,280,007,317,326
290,278,021,,010,302,007,280,007,317,326
290,278,021,,010,302,007,280,007,317,326
290,278,021,,010,302,007,280,007,317,329
290,278,021,,010,302,007,280,007,317,329
290,278,021,,010,302,007,280,007,317,329
290,278,021,,011,302,007,280,007,317,329
290,278,021,,011,302,008,280,007,317,329
290,278,021,,011,302,008,280,007,317,329
290,278,021,,011,302,008,280,007,317,329
290,278,021,,011,302,008,280,007,317,329
290,278,021,,011,302,008,280,007,317,329
291,278,021,,011,302,008,280,007,317,329
291,278,021,,011,302,008,280,007,317,330
291,278,021,,011,302,008,280,007,317,330
291,278,021,,011,302,008,280,007,317,330
291,278,021,,011,302,008,280,007,317,330
291,278,021,,011,302,008,280,007,317,330
291,278,021,,011,302,008,280,007,317,330
291,278,021,,011,302,008,280,007,317,330
291,278,021,,011,302,008,280,007,317,330
291,278,021,,011,302,008,280,007,317,330
291,278,021,,011,302,008,280,007,317,330
291,278,021,,011,302,008,280,007,317,330
291,278,021,,011,302,008,280,007,317,330
291,278,021,,011,302,008,280,007,317,330
291,278,021,,011,302,008,280,007,317,330
291,278,021,,011,302,008,280,007,317,330
291,278,021,,011,302,008,280,007,317,331
291,278,021,,011,302,008,280,007,317,331
291,278,021,,011,302,008,280,007,317,335
