Hatchery Spring Chinook,Hatchery Fall Chinook,Wild Coho,Hatchery Coho,Hatchery Chum,Unknown Chum,Wild Pink,Hatchery Pink
189,230,283,269,325,343,264,
189,230,283,269,325,343,264,
189,230,283,269,325,343,264,
189,230,283,269,326,343,264,
189,230,283,269,326,344,264,
189,230,283,269,326,344,264,
189,230,283,269,326,344,264,
189,230,283,269,326,344,264,
189,230,283,269,326,344,264,
189,230,283,269,326,344,264,
189,230,283,269,326,344,264,
189,230,283,269,326,345,264,
189,230,283,269,326,345,264,
189,230,283,269,326,345,264,
189,230,283,270,326,345,264,
189,230,283,270,326,,264,
189,230,284,270,326,,264,
189,230,284,270,326,,264,
189,230,284,270,326,,264,
189,230,284,270,326,,264,
189,230,284,270,326,,264,
189,230,284,270,326,,264,
189,230,284,270,326,,264,
189,230,284,270,326,,264,
189,230,284,270,326,,264,
189,230,284,270,326,,264,
189,230,284,270,326,,264,
189,230,284,270,326,,264,
189,230,284,270,326,,264,
189,230,284,270,326,,264,
189,230,284,270,326,,264,
189,230,284,270,326,,265,
190,230,284,270,326,,265,
190,230,284,270,326,,266,
190,230,284,270,326,,266,
190,230,284,270,326,,266,
190,230,284,270,326,,266,
190,230,285,270,326,,266,
190,230,285,270,326,,267,
190,230,285,270,326,,267,
190,230,285,270,326,,267,
190,230,285,270,326,,267,
190,230,285,270,326,,267,
190,230,285,270,326,,267,
190,230,285,270,326,,267,
191,230,285,270,326,,267,
191,230,285,270,326,,267,
191,230,285,270,326,,267,
191,230,285,270,326,,267,
191,231,285,270,326,,267,
191,231,285,270,326,,267,
191,231,285,270,326,,267,
191,231,285,270,326,,267,
191,231,285,270,326,,268,
191,231,286,270,326,,268,
191,231,286,270,326,,268,
191,231,286,270,327,,268,
191,231,286,270,327,,268,
192,231,286,270,327,,268,
192,231,286,270,327,,268,
192,231,286,270,327,,269,
192,231,286,270,327,,269,
192,231,286,270,327,,269,
192,231,286,271,327,,269,
192,231,286,271,327,,269,
192,231,286,271,327,,269,
192,231,286,271,327,,269,
192,231,286,271,327,,269,
192,231,286,271,327,,270,
192,231,286,271,327,,270,
192,231,286,271,327,,270,
192,231,286,271,327,,270,
192,231,286,271,327,,270,
192,231,286,271,327,,270,
192,231,286,271,327,,270,
192,231,286,271,327,,270,
192,231,286,271,327,,270,
192,231,286,271,327,,270,
192,231,286,271,327,,270,
192,231,286,271,327,,270,
192,231,286,271,327,,270,
192,231,286,271,327,,270,
192,231,286,271,327,,271,
192,231,286,271,327,,271,
192,231,286,271,327,,271,
192,231,286,271,327,,271,
192,232,286,271,327,,271,
192,232,286,271,327,,271,
193,232,286,271,327,,271,
193,232,286,271,327,,271,
193,232,286,271,327,,271,
193,232,286,271,327,,271,
193,232,286,271,327,,271,
193,232,286,271,327,,271,
193,232,286,271,327,,271,
193,232,286,271,327,,271,
193,232,286,271,327,,271,
193,232,286,271,327,,271,
193,232,286,271,327,,271,
193,232,286,271,327,,271,
193,232,286,271,327,,271,
193,232,286,271,327,,271,
193,232,286,271,327,,271,
194,232,286,271,327,,271,
194,232,286,271,327,,271,
194,232,286,271,327,,271,
194,232,286,271,327,,271,
194,232,286,271,327,,271,
194,232,286,271,327,,271,
194,232,286,271,327,,271,
194,232,286,271,327,,271,
194,232,287,271,327,,271,
194,232,287,271,327,,271,
194,232,287,271,327,,271,
194,232,287,271,327,,271,
194,232,287,271,327,,271,
194,232,287,271,327,,271,
194,232,287,271,327,,271,
194,232,287,271,327,,271,
194,232,287,271,327,,271,
194,232,287,271,327,,271,
194,232,287,271,327,,271,
194,232,287,271,327,,271,
194,232,287,271,327,,271,
194,232,287,271,327,,271,
194,232,287,271,327,,271,
194,232,287,272,327,,271,
194,232,287,272,327,,271,
194,232,287,272,327,,271,
195,232,287,272,328,,271,
195,233,287,272,328,,271,
195,233,287,272,328,,271,
195,233,287,272,328,,271,
195,233,288,272,328,,271,
195,233,288,272,328,,271,
195,233,288,272,328,,271,
195,233,288,272,328,,271,
195,233,288,272,328,,271,
196,233,288,272,328,,271,
196,233,288,272,328,,271,
196,233,288,272,328,,271,
196,233,288,272,328,,271,
196,233,288,272,328,,271,
196,233,288,272,328,,271,
196,233,288,272,328,,271,
196,233,288,272,328,,271,
196,233,288,272,328,,271,
196,233,288,272,328,,271,
196,233,288,272,328,,271,
196,233,288,272,328,,271,
196,233,288,272,328,,271,
196,233,288,272,328,,271,
196,233,288,272,328,,271,
196,233,288,272,328,,271,
196,233,288,272,328,,271,
197,233,288,272,328,,271,
197,233,288,272,328,,271,
197,233,288,272,328,,271,
197,233,288,272,328,,271,
197,233,288,272,328,,271,
197,233,288,272,328,,271,
197,233,288,272,328,,271,
197,233,288,272,328,,271,
197,233,288,272,328,,271,
197,233,288,272,328,,271,
197,233,288,272,328,,271,
197,233,288,272,328,,271,
197,233,288,272,328,,271,
197,233,288,272,328,,271,
197,233,288,272,328,,271,
197,233,288,272,328,,271,
197,234,288,272,328,,271,
197,234,288,272,328,,271,
197,234,288,272,328,,271,
197,234,288,272,328,,271,
197,234,288,272,328,,271,
197,234,288,272,328,,271,
197,234,288,272,328,,271,
197,234,288,272,328,,271,
198,234,288,272,328,,271,
198,234,288,272,328,,271,
198,234,288,272,328,,271,
198,234,288,272,328,,271,
198,234,288,272,328,,271,
198,234,288,272,328,,271,
198,234,290,272,328,,271,
198,234,290,272,328,,271,
198,234,290,272,328,,271,
198,234,290,273,328,,271,
198,234,290,273,328,,271,
198,234,290,273,328,,271,
199,234,290,273,328,,271,
199,234,290,273,328,,271,
199,234,290,273,329,,271,
199,234,291,273,329,,271,
199,234,291,273,329,,271,
199,234,291,273,329,,271,
199,234,291,273,329,,271,
199,234,291,273,329,,271,
199,234,291,273,329,,271,
199,234,291,273,329,,271,
199,234,291,273,329,,271,
199,234,291,273,329,,271,
199,234,291,273,329,,271,
199,234,291,273,329,,271,
199,234,291,273,329,,271,
199,234,291,273,329,,271,
199,234,291,273,329,,271,
199,234,291,273,329,,271,
199,234,291,273,329,,271,
199,234,291,273,329,,271,
199,234,291,273,329,,271,
199,234,291,273,329,,271,
199,234,291,273,329,,271,
199,234,291,273,329,,272,
199,234,291,273,329,,272,
199,234,291,273,329,,272,
199,234,291,273,329,,272,
200,234,291,273,329,,272,
200,234,291,273,329,,272,
200,234,291,273,329,,272,
200,234,291,273,329,,272,
200,234,291,273,329,,272,
200,234,291,273,329,,272,
200,234,291,273,329,,272,
200,234,291,273,329,,272,
200,234,291,273,329,,272,
200,234,291,273,329,,272,
200,234,291,273,329,,272,
200,234,293,273,329,,273,
200,234,293,273,329,,273,
200,234,293,273,329,,273,
200,235,293,273,329,,273,
200,235,293,273,329,,273,
201,235,293,273,329,,274,
201,235,293,273,329,,274,
201,235,293,273,329,,274,
201,235,293,273,329,,274,
201,235,293,273,329,,274,
201,235,293,273,329,,274,
